"{.@AsraNomani is an immigrant, a Muslim and a life-long liberal. She also voted for Trump. }",797145623749345280
{What a Trump presidency could mean for LGBT Americans },797139837535064064
{Warren Buffett on President-elect Trump: 'He deserves everybody's respect' },797128008008081409
{5 reasons not to expect Hillary Clinton to be prosecuted },797125995035815936
"{Trump Tower in Manhattan, home to President-elect Donald Trump, has become a de facto ""fortress""… }",797123863851180032
{“We mustn't be defeated”: How celebrities are reacting to Trump’s election },797115425448464385
{Branson: Voters who helped elect Trump are those who will be hurt most if he gets rid of Obamacare… },797105072861757440
{Muslim woman who voted for Trump: “Trump voters are human beings too” },797102398107848709
{People are looking for hope in Trump's America at MLK's grave site },797096690327154688
"{Harry Reid: President-elect Donald Trump has ""emboldened the forces of hate""  }",797094340850028544
"{RT @CNNnewsroom: Author/Historian on Melania Trump as future first lady: ""You can't help but detect her shyness""  }",797091814448758785
{Trump-backing pol on Obamacare: 'We're not going to be pulling the rug out from anyone' },797085980180226048
{NYC mayor: Database with info on undocumented New Yorkers could be deleted in light of Trump win },797076916687765504
{Inside the mind of Trump's national security guru },797076411613843456
{Trump administration could mean new life for Clinton Foundation probe },797065596345155588
{New York Times calls on President-elect Trump to denounce hate },797061191617155072
{What the military might do if Trump gave illegal orders like he promised during the campaign },797058047835275265
{Trump tweets praise for protesters hours after calling them 'very unfair' },797056284625408000
{Here's Trump's plan to stop hackers },797053771469746176
{Brexit leader Nigel Farage calls Obama a loathsome creature },797046221965848576
{Megyn Kelly denies report her book says Trump saw debate question in advance },797041184757649409
{Team Trump is already filled with Washington insiders },797038668489834496
{Donald Trump boasted he would swap out Air Force One with his private jet. He probably can't do that },797036515163602945
{People are lighting their New Balance sneakers on fire over comments the company made about Donald Trump },797033882608668672
"{If millennial voters had their way, Hillary Clinton would be president. Older, whiter demographics favored Trump }",797032624065835009
{Here's what Michelle Obama and Melania Trump talked about over tea at the White House },797027594440998912
{Russian government says it maintained contact with Donald Trump's staff and entourage during the election campaign },797026332379058176
{Women are advising each other to get IUDs now -- a form of birth control that could last through a Trump presidency },797025074259886080
"{Trump may have listed it as a ""100 days"" priority, but it could take months or years to replace Obamacare }",797022557421654016
{Police in Portland say an anti-Trump demonstration turned into a riot },797020653736099840
{Fake news on Facebook; bots trolling Twitter users; emails from Wikileaks -- did the internet shape the election? },797020040914698240
{It will be a long time before anyone can say for certain how Donald Trump won -- but here are some early theories },797017524747599872
{What will Donald Trump actually do as president? It's anybody's guess },797015008215502848
"{""Drain the swamp?"" Maybe not: Trump's team is already filled with Washington insiders }",797012491704401920
"{If millennials had their way, Hillary Clinton would have won -- and that's worth noting, writes @jdsutter }",797009974761320448
{Kids are taking the feds -- and possibly Trump -- to court over climate change },797007458527023104
"{Far-right Brexit leader Nigel Farage, who helped Trump campaign, called Obama a ""loathsome creature"" }",797005162502115328
"{Trump's ""presidency has to be opposed right now,"" says documentary filmmaker Michael Moore }",796967505763979264
{Here's a look at America's new first family },796956088591642624
"{Portland police now classify anti-Trump protests as a riot due to ""extensive criminal and dangerous behavior""… }",796952347226284033
{Want to flee Trump? This Swede will marry any American who wants to leave the US (and take up Swedish citizenship)… },796951845688184833
"{""We are disappointed"" in the results of the US presidential election, Gold Star dad Khizr Khan says of the Trump wi… }",796937114533396481
"{Donald Trump says in a tweet that the protests against him are ""very unfair"" }",796925028935827456
