status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150944924844999,Did Penn State handle accusations against Nate Parker properly? The Times investigates.,Nate Parker’s Past Surfaces in Prosecutors’ Investigation of Penn State,link,http://www.nytimes.com/2016/10/28/movies/nate-parkers-past-surfaces-in-prosecutors-investigation-of-penn-state.html?smid=fb-nytimes&smtyp=cur,2016-10-28 07:25:00,62,8,11
5281959998_10150945057189999,"The man attacked a New York tourist, who fell off a cliff as she tried to get away.",Thai Man Will Serve Up to 5 Years for Attacking U.S. Tourist,link,http://www.nytimes.com/2016/10/29/world/asia/woman-thailand-attack-cliff.html?smid=fb-nytimes&smtyp=cur,2016-10-28 06:55:01,277,71,20
5281959998_10150944935889999,"""Remember that resentment is not a political philosophy and hatred is not a sustainable force for governing."" Read on in The New York Times Opinion Section.",A Final Plea to Trump’s America,link,http://www.nytimes.com/2016/10/28/opinion/campaign-stops/a-final-plea-to-trumps-america.html?smid=fb-nytimes&smtyp=cur,2016-10-28 06:25:00,8032,446,2606
5281959998_10150944994614999,"A Donald J. Trump campaign official was quoted describing a sophisticated ""voter suppression"" effort.","Donald Trump Campaign Seeks ‘Voter Suppression,’ Report Says, but It’s Legal",link,http://www.nytimes.com/2016/10/28/us/politics/donald-trump-campaign-voter-suppression.html?smid=fb-nytimes&smtyp=cur,2016-10-28 05:55:00,350,182,388
5281959998_10150944989359999,Daily Briefing: Here's what you need to know today.,Your Friday Briefing,link,http://www.nytimes.com/2016/10/28/briefing/us-briefing-election-oregon-vine.html?smid=fb-nytimes&smtyp=cur,2016-10-28 05:30:00,56,9,4
5281959998_10150944958099999,"""We forget how food is tasty.""",‘I Dream in Fruit’: What Hunger Looks Like in Syria,link,http://www.nytimes.com/interactive/2016/10/28/world/middleeast/syria-hunger.html?smid=fb-nytimes&smtyp=cur,2016-10-28 04:25:00,265,28,148
5281959998_10150944948069999,Apple's MacBook Pro is getting a little more like the iPhone.,Apple’s New MacBook Pro Gets More Touchy,link,http://www.nytimes.com/2016/10/28/technology/apple-new-laptop-touch-bar-macbook-pro.html?smid=fb-nytimes&smtyp=cur,2016-10-28 04:25:00,386,43,36
5281959998_10150944941094999,Employees at an air-monitoring station in China stuffed cotton into the pollution monitors so that the air would seem cleaner. They were caught.,"When China Wants Better Air Readings, Cotton Does the Trick",link,http://www.nytimes.com/2016/10/29/world/asia/china-xian-air-pollution-data.html?smid=fb-nytimes&smtyp=cur,2016-10-28 03:58:00,579,73,212
5281959998_10150944905899999,"The world’s biggest marine reserve, almost as large as Alaska, will be established in the Ross Sea in Antarctica.",Coast of Antarctica Will Host World’s Largest Marine Reserve,link,http://www.nytimes.com/2016/10/28/world/australia/antarctica-ross-sea-marine-park.html?smid=fb-nytimes&smtyp=cur,2016-10-28 03:25:01,1544,27,168
5281959998_10150944907744999,Donald J. Trump appears to have lost the support of his biggest donor: himself.,Money Flows Down Ballot as Donald Trump Is Abandoned by Big Donors (Even Himself),link,http://www.nytimes.com/2016/10/28/us/politics/money-flows-down-ballot-as-donald-trump-is-abandoned-by-big-donors-even-himself.html?smid=fb-nytimes&smtyp=cur,2016-10-28 02:55:01,2423,276,462
5281959998_10150944663124999,"After a series of setbacks, Boko Haram is stepping up attacks in Nigeria and Niger.",Boko Haram Attacks Signal Resilience of ISIS and Its Branches,link,http://www.nytimes.com/2016/10/28/world/africa/boko-haram-isis-nigeria-niger.html?smid=fb-nytimes&smtyp=cur,2016-10-28 02:25:01,67,9,11
5281959998_10150944634129999,"With its walled cities, Italian-influenced cuisine, and ancient temples, Malta is in a class of its own.",36 Hours in Malta,link,http://www.nytimes.com/interactive/2016/10/21/travel/what-to-do-36-hours-in-malta.html?smid=fb-nytimes&smtyp=cur,2016-10-28 01:55:01,741,98,262
5281959998_10150944287444999,One idea to help California build the housing it needs? Use vacant lots in Los Angeles and San Francisco.,No Vacancies in California? Housing Report Begs to Differ,link,http://www.nytimes.com/interactive/2016/10/26/business/vacant-la-sf.html?smid=fb-nytimes&smtyp=cur,2016-10-28 01:25:00,214,34,28
5281959998_10150944608594999,An artist found a direct line to wealthy clients for his sculptures: models who also work as high-end prostitutes.,A Sculptor Reaps the Rewards of Art Deals Brokered in the Bedroom,link,http://www.nytimes.com/2016/10/28/nyregion/a-sculptor-reaps-the-rewards-of-art-deals-brokered-in-the-bedroom.html?smid=fb-nytimes&smtyp=cur,2016-10-28 00:55:00,278,34,53
5281959998_10150944691139999,"""If everybody went to college, there’s going to be a lot of unemployed people like there is — there is going to be a lot of people not working in their fields.""",The Pitch for Technical School Over a Four-Year College,link,http://www.nytimes.com/interactive/projects/cp/national/college-applications/the-pitch-for-technical-school?smid=fb-nytimes&smtyp=cur,2016-10-27 23:55:00,1620,120,487
5281959998_10150944501869999,A woman was sentenced to 20 years in prison for poisoning her friend’s coffee at an upscale Jakarta cafe.,‘Coffee Murder’ Case That Gripped Indonesia Ends With a Guilty Verdict,link,http://www.nytimes.com/2016/10/28/world/asia/coffee-murder-case-that-gripped-indonesia-ends-with-a-guilty-verdict.html?smid=fb-nytimes&smtyp=cur,2016-10-27 23:25:01,332,74,105
5281959998_10150944366914999,"If approved, Proposition 61 could mean savings for California’s public employees and retirees, its prison system and part of Medi-Cal. But the size of savings is unclear.",California Today: The Drug Industry Has Spent $109 Million to Kill Prop 61. Here’s Why.,link,http://www.nytimes.com/2016/10/27/us/california-today-drug-industry-proposition-61.html?smid=fb-nytimes&smtyp=cur,2016-10-27 22:55:00,198,18,74
5281959998_10150944669254999,"2 young Iraqis who escaped sexual slavery by ISIS and became advocates for women’s rights, were honored with a top human rights award.",2 Yazidi Women Who Fled ISIS Slavery Receive E.U.’s Sakharov Prize,link,http://www.nytimes.com/2016/10/28/world/middleeast/yazidi-women-isis-sakharov-prize.html?smid=fb-nytimes&smtyp=cur,2016-10-27 22:25:00,3581,28,267
5281959998_10150944626984999,"An Alaska lawyer accused Justice Clarence Thomas of groping her at a dinner party in 1999, a claim he called “preposterous.”",Lawyer Accuses Justice Thomas of Groping Her at Party in 1999,link,http://www.nytimes.com/2016/10/28/us/politics/lawyer-accuses-justice-thomas-of-groping-her-at-party-in-1999.html?smid=fb-nytimes&smtyp=cur,2016-10-27 21:55:00,251,197,77
5281959998_10150944658659999,"When it comes to the health of your bladder, “It is time to move on from cranberries.”",The Cure for UTIs? It’s Not Cranberries,link,http://www.nytimes.com/2016/10/28/health/cranberry-juice-uti.html?smid=fb-nytimes&smtyp=cur,2016-10-27 21:25:00,932,267,456
5281959998_10150944366849999,Some excellent foreign shows. (via NYT Watching),Great Foreign-Language Shows to Stream,link,http://www.nytimes.com/watching/lists/best-foreign-tv-shows?smid=fb-nytimes&smtyp=cur,2016-10-27 21:10:00,225,19,57
5281959998_10150944650044999,Hacked emails released by WikiLeaks paint an unexpectedly detailed portrait of Chelsea Clinton.,Chelsea Clinton’s Frustrations and Devotion Shown in Hacked Emails,link,http://www.nytimes.com/2016/10/28/us/politics/bill-chelsea-clinton-foundation.html?smid=fb-nytimes&smtyp=cur,2016-10-27 20:55:00,2010,388,297
5281959998_10150944643074999,"One woman told investigators that Alec Cook, 20, invited her to his apartment earlier this month, where he raped her and choked her until her vision blurred.",At Least 6 Women Accuse University of Wisconsin Student of Assault,link,http://www.nytimes.com/2016/10/28/us/at-least-6-women-accuse-university-of-wisconsin-student-of-assault.html?smid=fb-nytimes&smtyp=cur,2016-10-27 20:25:00,482,214,184
5281959998_10150944618844999,"“Hillary doesn’t play,” Michelle Obama said. “She has more experience and exposure to the presidency than any candidate in our lifetime — yes, more than Barack, more than Bill — so she is absolutely ready to be commander in chief on Day 1. And yes, she happens to be a woman.”",Hillary Clinton Basks in First Lady’s Soaring Popularity on the Campaign Trail,link,http://www.nytimes.com/2016/10/28/us/politics/hillary-clinton-michelle-obama.html?smid=fb-nytimes&smtyp=cur,2016-10-27 19:55:00,13735,453,826
5281959998_10150944598664999,"Hillary Clinton leads by 7 points in a poll of Pennsylvania, a key state for Donald J. Trump's campaign.",Hillary Clinton Leads by 7 Points in Pennsylvania Poll,link,http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html?smid=fb-nytimes&smtyp=cur,2016-10-27 19:25:00,4267,250,229
